player_id,full_name
681497,Ari Moura Vieira Filho
218138,Carlos Eduardo Bendini Giusti
217863,Guilherme Haubert Sityá
1220010,Yago Eduardo Noal Lopes
218353,Luiz Ricardo Alves
964582,Jhonatan dos Santos Rosa
1220008,Allex Rodrigues Pereira da Silva
218470,Cássio Horta Magalhães
34006,Carlos Pedro Carvalho de Sousa
522091,Renan Abner do Carmo de Oliveira
101304,Douglas Silva Bacelar
34029,Hélder José Vaz Cabral
1220061,Tevis Gabriel Alves Santos
349826,Jean Carlos de Souza Irmer
520858,Luiz Felipe Veloso Santos
34007,Nilson Corrêa Júnior
964591,Kaiky Marques Naves
520492,Paulo Victor da Silva
522190,Antonio David Álvarez Rey
349890,Eduardo dos Santos Lima
101254,Vando Francisco dos Santos
681501,Wenderson Oliveira do Nascimento
219835,Alex Paulo Menezes Santana
681692,Leonardo Borges Da Silva
350310,Victor Emanuel Araújo Ferreira
967981,Kodjo Jean Claude Aziangbe
350071,Hugo Filipe Cardoso Ribeiro
34097,Ronny Carlos da Silva
522714,Anderson Oliveira Silva
1220143,Luca Oliveira Meirelles
101469,Carlos Gilberto Nascimento Silva
522715,João Caiado Vaz Dias
964590,Kaique Pereira Azarias
1220179,João Rafael Macedo Pereira
350311,Hélder José Castro Ferreira
681814,Allan Godoi Santos
34159,Eduardo dos Reis Carvalho
681827,Jorge Miguel Lopes Xavier
1220141,Mateus Xavier de Sousa
523363,Kaio Fernando da Silva Pantaleão
34077,Ricardo José Vaz Alves Monteiro
101670,Marcelo Gil Fernando
965630,Habraão Lincon Do Nascimento Saraiva
221611,Paulo Otávio Rosa da Silva
969596,Gabriel Gomes Ferreira
101321,Marcos Vinícius Cardoso de Amorim
220647,Guillermo Matías Fernández
101823,Luiz Paulo Hilario
350396,Rafael Furlan Soares
523606,José Cleylton de Morais dos Santos
971570,Endrick Felipe Moreira de Sousa
1220181,Maykon Kesley de Jesus Ramalho
683557,Eduardo de Sousa Santos
102017,Jorge Luiz Frello Filho
683840,Pedro González López
970609,Maxuel de Cássio da Silva
101506,Aderlan de Lima Silva
971775,José Antonio Ángel García
221899,Leonardo Carrilho Baptistão
350342,Fernando Pereira do Nascimento
102043,Sylvester Emeka Igboun
351181,Abdulla Yusuf Helal
34206,José Luis Francisco Zuela dos Santos
972864,Leanderson da Silva Genésio
34361,André Luiz Silva do Nascimento
101355,Lúcio Hernandes da Silva Souza
1220277,Lucyan Gabriel Arruda Delgado
223053,Joaquín José Marín Ruz
523850,Gabriel Airton de Souza
1220182,Lucas Louback Gomes
351738,Lincoln Henrique Oliveira dos Santos
524446,Victor Hugo Soares dos Santos
34564,Francisco Jiménez Tejada
221799,Reginaldo Artur Faife
524481,Roger Ibañez da Silva
973566,Patryck Magalhães Ferreira
685768,Allan Victor Oliveira Mota
1220392,Daniel Costa Santos
34024,Tiago João Targino da Silva
102574,Jean Carlos Vicente
681829,Nilton Varela Lopes
1220180,Mateus José Iseppe
686150,Anderson Cordeiro Costa
223073,Eugeni Valderrama Domènech
220722,Eduardo Antônio Machado Teixeira
351540,José Francisco Agulló Sevilla
686332,Edson Fernando Da Silva Gomes
223068,Pedro Tanausú Domínguez Placeres
351750,Leonardo Natel Vieira
685589,Anwan Nicholas Lawrence
1220446,Felipe Gabriel Cunha Teresa
351894,Leonardo Rodrigues dos Santos
973569,Rwan Philipe Rodrigues de Souza Cruz
973703,Brenner Lucas Gonçalves Santos
973704,Thiago Rosa da Cunha
1220467,Breno Vereza da Silva
34730,Cláudio Rodrigo Siqueira Carolino
103147,Welligton de Lima Gomes
524572,Paulo Vítor Fernandes Pereira
351898,Leandro Henrique do Nascimento
35090,Carlos Miguel Correia Fonseca
103381,Francisco das Chagas Soares dos Santos
686597,Lucas Felipe Calegari
34576,João Pedro Azevedo Silva
525254,David Luís Pereira da Silva
974488,Pedro Luccas Morisco da Silva
34706,Daniel Ricardo da Silva Soares
687347,Emerson Santana Deocleciano
223560,Luciano da Rocha Neves
1220468,Luiz Gustavo Marinho Ribeiro dos Santos
34495,Adriano Correia Claro
35242,António Alberto Bastos Pimparel
352425,Witiness Chimoio João Quembo
525257,Edson Gabriel Justino
1220612,Wendel Silva Passos
687359,Rômulo Zanré Zwarg
35245,Matheus Leite Nascimento
524590,José Francisco dos Santos Júnior
225335,Wallace Fortuna dos Santos
525287,Carlos Vinicius Alves Morais
351892,Matheus Fernandes Siqueira
976103,Edison Custódio dos Santos
1220613,Pedro Henrique Silva Santos
103743,Henrique Almeida Caixeta Nascentes
225068,Alexander Ian Grant
35247,Adelino André Vieira de Freitas
687743,Adriano Firmino dos Santos da Silva
352559,André Carneiro Leal
1220614,Ruan Pablo Barbosa Sousa
976522,Giovanni Fernando Cofreste Pavani
103585,Kléber Laube Pinheiro
352558,Marco Aurélio Ribeiro de Sousa
1220465,Igor Toledo e Toledo
103793,Carlos Alexandre de Souza Silva
225432,José Rafael Vivian
35513,Arthuro Henrique Bernhardt
224852,Patrick de Oliveira Vieira
525576,Rafael Alexandre Bandeira da Fonseca
975128,Rivaldo Boaventura Morais
976561,Janderson de Carvalho Costa
103674,Gustavo Campanharo
225462,José María Martín Bejarano-Serrano
352918,Henrique Martins Gomes
103916,Rafael Cabral Barbosa
688309,Wellissol Santos de Oliveira
1220615,José Waliffer Pires Correia Lima
1220787,Douglas Costa Telles
525472,Edilsom Borba De Aquino
525828,Ezequiel Santos da Silva
225477,Fernando José da Cunha Neto
976951,Jardiel Maciel Libertino da Silva
352583,Ricard Fernández Betriu
977463,Rodrigo Henrique Santos de Souza
688310,Lucas Eduardo Lima da Silva
525234,Élson Pereira Tavares
1221317,Riquelme Freitas dos Santos
35536,Antonio Rodríguez Martínez
225617,Reinaldo Manoel da Silva
527192,Felipe Vieira Augusto
35515,Iriney Santos da Silva
688668,Lucas Esteves Souza
35537,Felipe Melo de Carvalho
687881,Diego Santos Carioca
225693,Fabio Henrique Tavares
104505,Alan Patrick Lourenço
1221390,Rafael Barbosa Coutinho
104509,André Felipe Ribeiro de Souza
35546,Rafael Ramos Lozano
353213,Platiny Mário Lopes Alves
527304,Moses Yaw
104277,Luís Felipe Dias do Nascimento
226138,Mattheus de Andrade Gama Oliveira
35554,Ustaritz Aldekoaotalora Astarloa
225408,Wellington Wildhy Muniz dos Santos
353211,Vagner José Dias Gonçalves
527881,Miguel Ângelo Moreira de Magalhães
353214,Aílton César Duarte Silva
1221660,Walace Fernandes Alves Falcão
688684,Ronald dos Santos Lopes
688690,Igor Marques Paciência Cardoso
353108,Bruno Henrique Pinto
687361,Welinton Macedo dos Santos
104540,Lucas Galvão da Costa Souza
35571,José Enrique Sánchez Díaz
353845,Diogo Firmino da Silva Fernandes
688881,Vinícius Lopes da Silva
1221548,João Victor Schlickmann Carbone
529646,Patrick Machado Ferreira
977464,Arthur Augusto de Matos Soares
354214,John Mary Honi Uzuegbunam
36090,Djalmir Vieira de Andrade
978004,Natã Felipe de Amorim Santos
226155,Carlos Vinícius Santos de Jesús
529730,Francisco Pedro Tiago Silva
1222227,Luiz Felipe Vieira Santana de Sá
226141,Henrique Roberto Rafael
36262,Wílton Aguiar Figueiredo
226382,César Fernando Silva dos Santos
977484,Rikelmi Valentim dos Santos
978037,Igor Jesus Lima
689211,Juan Ignacio Martin Nardoni
1221818,André Luiz Santos Dias
354697,Alberto Rodríguez Baró
978039,Marcos Paulo Lima Batista Silva
526365,Guttiner Heider Fernando Costa Tenorio
1222308,Davi Gomes de Alvarenga
530032,Mateus Quaresma Correia
36478,Alan Carlos Gomes da Costa
530289,Luiz Henrique Beserra Dos Santos
689737,Patrick de Lucca Chaves de Oliveira
226896,Dankler Luís de Jesus Pedreira
355369,Theoson-Jordan Siebatcheu
37403,Roberto Jiménez Gago
530421,Daniel de Sousa Britto
978057,Petterson Novaes Reis
978121,Gabriel Delfim Ferreira
105456,Fernando Lucas Martins
227436,João Mário Nunes Fernandes
1222581,Kauã Oliveira Branco
105468,Neuton Sérgio Piccoli
355496,Lucas de Souza Cunha
691316,Luis Henrique Tomaz de Lima
226404,Renato Escobar Baruffi
978150,Eduardo Ageu Almeida Santos
1222572,Lucas Daniel Silva
531373,Christian Joel Sánchez Leal
691811,Eduardo Marcelo Rodrigues Nunes
355492,Jorge Elias dos Santos
977858,Denivys Will da Vitória Júnior
1222645,Thiago Isabel Nascimento Borges
227676,Amilton Minervino da Silva
357162,Florentino Ibrain Morris Luís
357565,Rodrigo Hernández Cascante
531916,Pedro Henrique Alves de Almeida
978615,Mateus Cardoso Francisco
1222735,Fabiano Henrique Alves dos Santos
37623,Thiago Pinto Borges
227901,Bruno Anderson da Silva Sabino
357785,Geraldo Amâncio Matsimbe
106032,Everson Felipe Marques Pires
37418,Éder Citadin Martins
979508,Gabriel Cabral da Cruz
690924,João Paulo Marques Gonçalves
530737,Richard Candido Coelho
105470,Alisson Ramses Becker
694528,Bruno Wavzinkevicz Ribeiro
106014,Hugues Evrard Zagbayou
1222625,Kauan Gabriel Cordeiro Lindes
689017,Aldemir dos Santos Ferreira
691906,Bento Matheus Krepski
531967,Matheus Felipe Camargo Iacovelli
533728,Queven da Silva Inácio
1223221,Igor Odoni Gomes
106041,Ricardo Cavalcante Mendes
358733,Cristian Alex da Silva Santos
106281,Vinícius Goes Barbosa de Souza
37598,Rubens Fernando Moedim
227511,Maurides Roque Junior
1222762,Lucas Lohan dos Santos Verediana
978480,Breno Herculano Almeida
1223634,Davi Medeiros Serrano Lira
228206,Jucimar Lima Pacheco
107617,Dionatan do Nascimento Teixeira
362790,Luiz Fernando Ferreira Maximiano
694928,Samuel Dias Lino
980463,Marcos Victor Ferreira da Silva
694606,Thiago Eduardo de Andrade
227941,Matheus Diovany Pechim dos Santos
1223636,Kayan da Silva Romero Alves
534379,Francisco Jesús Crespo García
359678,Ernest Nyarko Antwi
228433,Wendell Nascimento Borges
534423,Francisco Nélson Simbine
695454,Francisco Jorge Tavares Oliveira
39004,Juan Carlos Sánchez Martínez
362842,Arthur Henrique Ramos de Oliveira Melo
1223679,Cláudio Thalis Ferreira Nogueira
979625,Paulo Vitor Leal Sousa Lima
979931,Gabriel Souza dos Santos
695121,Hevertton Ciriaco Santos
533926,Gleyson García de Oliveira
107701,Gabriel Rojo de la Vega Piccolo
38662,Halisson Bruno Melo dos Santos
107973,Ramon Rodrígues da Silva
696655,Jefferson Pessanha Agostinho
1223680,Breno José da Silva Santos
228761,Jonathan Rodríguez Menéndez
980806,Lucas Eduardo Muller
980767,Vinicius Rangel da Silva
